Unnamed: 0,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
157,Data Business Analyst,-1,"We have multiple Mid-level and Senior Business Analyst opportunities in our Reporting, Risk, Analytics & Platforms team within Macquarie’s Financial Management Group. Use your business knowledge and analytical experience to assist an established project team with the delivery of a significant & high-profile regulatory transformation project.
About the role
As a Business Analyst, you’ll support in delivering to our critical regulatory milestones in reporting and data. You’ll support in lifting remediation issues as a team player with an inquisitive, analytical mindset to delve deeper into the root causes. We have scope to hire at a mid or senior level.
As an instrumental part of our Group Treasury team, you will work closely with subject matter experts to understand and document, business and data requirements for products and calculations. You will act as a liaison between business users and the technology delivery teams and be able to articulate and assist with the understanding and interpretation of requirements. In addition, you may also participate in testing.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
158,Graduate Technical Analyst,"$66,000 /yr (est.)","Really champion internal promotions and offer flexible progression
Supporting studies in further accreditation and developing skills
Tailored mentorship

Eager to kickstart your career in Technology? On the lookout for Developer jobs and Data Analyst jobs in Sydney? Apply for this Junior Technical Digital Analyst role today!

Company profile – Cloud solutions agency
Customer-centric technology experts leading secure multi-cloud solutions. Driven by their purpose to provide a fully supportive service to their clients and ensure they deliver real outcomes in using their cutting-edge technology.

Over 20 years in the industry, with a family-feel culture of 300 employees and over 1000 customers, they are keen to build up their team in Sydney with junior talent and provide flexible career pathways to suit individual strengths.












INDAUS",4.8,"Give A Grad A Go
4.8",Sydney,1 to 50 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
159,Data Governance Business Analyst,-1,"Data Governance Business Analyst
If you have an appreciation for Data Management and are looking to build your career in this rapidly growing specialisation, there is a unique and exciting opportunity to join the Group Data Office within Macquarie’s Banking and Financial Services Division. In this role, you’ll be working closely with a variety of stakeholders across the business to identify and manage critical data across our group.

What impact will you have?

As a Data Governance Business Analyst, you will work alongside Data Stewards, Process Owners and Data teams, guiding the implementation of our data management activities. You will build relationships with people across the data ecosystem, helping to increase the understanding of data governance, ensuring that critical data risks are identified and that appropriate controls are in place. In joining the team, you will:",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
160,Technical Business Analyst,"$66,000 /yr (est.)","Really champion internal promotions and offer flexible progression
Supporting studies in further accreditation and developing skills
Tailored mentorship

Eager to kickstart your career in Technology? On the lookout for Developer jobs and Data Analyst jobs in Sydney? Apply for this Junior Technical Digital Analyst role today!

Company profile – Cloud solutions agency
Customer-centric technology experts leading secure multi-cloud solutions. Driven by their purpose to provide a fully supportive service to their clients and ensure they deliver real outcomes in using their cutting-edge technology.

Over 20 years in the industry, with a family-feel culture of 300 employees and over 1000 customers, they are keen to build up their team in Sydney with junior talent and provide flexible career pathways to suit individual strengths.












INDAUS",4.8,"Give A Grad A Go
4.8",Sydney,1 to 50 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
161,Business Analyst,$112.50 /hr (est.),"We are calling an experienced Business Analyst for one of our federal clients. Good opportunity for an experienced, curious business analyst with detailed data and analytics experience to work in the new Data and Analytics Office (DAO).
Responsibilities include:
Proposed Personnel should be motivated, self-starters who are able to work independently as well as collaboratively within the broader team. Activities will include:
· Working in multi-disciplinary teams to deliver data and analytics projects using Agile approaches.
· Working with business to understand data requirements and issues.",-1.0,Datagenius IT Systems,New South Wales,-1,-1,-1,-1,-1,-1
162,Technical Digital Analyst,"$66,000 /yr (est.)","Really champion internal promotions and offer flexible progression
Supporting studies in further accreditation and developing skills
Tailored mentorship

Eager to kickstart your career in Technology? On the lookout for Developer jobs and Data Analyst jobs in Sydney? Apply for this Junior Technical Digital Analyst role today!

Company profile – Cloud solutions agency
Customer-centric technology experts leading secure multi-cloud solutions. Driven by their purpose to provide a fully supportive service to their clients and ensure they deliver real outcomes in using their cutting-edge technology.

Over 20 years in the industry, with a family-feel culture of 300 employees and over 1000 customers, they are keen to build up their team in Sydney with junior talent and provide flexible career pathways to suit individual strengths.",4.8,"Give A Grad A Go
4.8",Sydney,1 to 50 Employees,2009,Company - Private,HR Consulting,Human Resources & Staffing,$1 to $5 million (USD)
163,Data Discovery Senior Business Analyst,-1,"Macquarie’s Financial Management Group is recruiting Data Discovery Analysts to help transform our data capabilities across the Financial Management Group and Macquarie Group. This is an excellent opportunity to join a growing data centre of excellence with a strong mandate to drive data-related change to enhance data capabilities, source high quality data across the organisation, and optimise reporting, modelling and analytics capabilities.
We work closely with Finance, Tax, Treasury and Risk functions to help define data requirements, source data from across Macquarie, establish data management standards, and partner with technology teams to implement solutions for a range of use cases.
Our work touches all of Macquarie’s business and support groups and your stakeholders include senior leaders and product owners in business and technology roles.
You will partner with Group Treasury (Liquidity Team) to deliver great data outcomes. As part of the project, you will work closely with members of group treasury, business teams and data teams to understand requirements of new data and remediation of data quality for existing data for liquidity reporting.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
164,Airpower Teaming System (ATS) - Finance Cost Analyst (P3),-1,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Location:
RAAF Base Williamtown
Category:
Finance
Position Type:
Permanent
Job Reference:",3.8,"BOEING
3.8",Williamtown,10000+ Employees,1916,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD)
165,Expressions of Interest - Data Engineer | Data & Analytics,"$90,000 /yr (est.)","At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors.

As a Data Engineer, you will support our clients in defining and implementing a data journey aligned with their strategic objectives. Some of your responsibilities will include:",3.8,"EY
3.8",Sydney,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable
166,Data Analyst - IBM Cognos & TM1,-1,"The speed of change is throwing traditional business methods into question and disrupting the relevance of entire industries. Capgemini, a global leader in consulting, digital transformation, technology and engineering services, is at the forefront of innovation and well placed to address opportunities for our clients in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organisations to realise their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today, it is a multicultural company with over 270,000 team members in almost 50 countries. With Altran, the Group reported 2020 combined revenues of EUR 15.8 billion. Learn more about us at www.capgemini.com.

Let's talk about the team:
Our Applications Managed Services team help our clients create more value for. their business and improve efficiency through IT Systems. Our services are highly industrialized, underpinned by robust SLAs, based on industry-standard best practices, and delivered by a cost-effective mix of onshore, nearshore, and offshore resources. We're about more than 'keeping the lights on for. less' - we provide a commitment to continuous improvement and value generation.



Let's talk about what's in it for you!
Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from. Capgemini constantly aims for excellence in its operations and the employee experience it provides. In line with our Purpose, Flexible Working aims to improve the overall people experience by providing an optimal work-life balance, more autonomy and freedom in when, where and how we work.
As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:
Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate or recognise special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini, OutFront, Indigenous, Parents and Carers and Sustainability Community of Practice support the grassroots passion of employees to drive our diversity agenda and effect change.
Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.
Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. As well as focusing on helping our clients transform towards more sustainable business models, Capgemini recently announced its commitment to becoming a netzero busines by 2030.
Recognised by Ethisphere as one of the World's Most Ethical Companies for the last 9 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, visit www.capgemini.com/au-en/careers/ and listen to some of our employee's stories.
#GetTheFutureYouWant - Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.

Please note unsolicited resumes from employment agencies or other third parties will not be considered.
#LI-TK1",4.0,"Capgemini Australia
4.0",Canberra,1001 to 5000 Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
167,Reporting Analyst,-1,"Posted: 02/05/2022
Closing Date: 31/05/2022
Job Type: Contract
Location: Sydney
Job Category: Banking and Financial Services,Call Centre and Customer Service,Insurance & Superannuation
At CSC, we know that it takes all of us working together, united as one, to guide our customers towards their retirement dreams. We’re proud to wear the government crest, and proud to serve those who serve our country.
Every day, CSC makes a real difference by guiding our customers to make the right choices, and to feel confident about their financial wellbeing. Through rich customer insights and world-leading investment strategies, we’re always growing and improving. That means creating an environment where each and every one of us has the opportunity to strive together for excellence.",-1.0,Commonwealth Superannuation Corporation (CSC),Sydney,-1,-1,-1,-1,-1,-1
168,ICT Business Analyst,"$125,000 /yr (est.)","Right now, EPiC Agile is looking for a talented ICT Business Analyst with proven experience working in Agile environments to partner with our awesome clients, whilst still being made to feel very much like EPiC Agile is home! This is a Full-time position located in Sydney CBD.
We are a Practitioner led Business Agility and Lean-Agile Transformation Consultancy. We coach at all levels of a business to inject lean start-up culture into the enterprise, creating work environments that people love! Our customer portfolio includes large-scale household names and smaller/leaner organizations throughout Australia, Singapore, and New Zealand.
Your main responsibilities will be:
Develop and implement functional solutions, systems and ways of working patterns such as Jira or similar software products, as well as establishing ways of working patterns (such as standups, sprint cycles, planning sessions & retrospectives) and ensuring quality and integrity of newly implemented data solutions.",-1.0,EPiC Agile,Sydney,-1,-1,-1,-1,-1,-1
169,Data Analyst,$112.50 /hr (est.),"July Start
Initial 12-month contract with a 12-month extension available
$900/day plus Super
Open to Australian Citizens

We are looking for experienced and curious data analysts to work in the new Data and Analytics Office (DAO).

Responsibilities:
Working in multi-disciplinary teams to deliver data and analytics projects using Agile approaches.

Essential Criteria:

Desirable Criteria:

Thank you for your application; due to the volume of applications we may not be able to respond to all applicants.
Best of luck with your job search.",4.0,"Osborne Richardson Australia
4.0",Australia,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
170,Information Analyst,-1,"About the role
The Information Analyst role sits in the Strategy Analytics team in the Data & Analytics Strategy function. You will work closely with and take guidance from the Analytics Lead, and be responsible for the provision of quantitative analysis, advice and reporting on performance trends, projects and initiatives, and identifying emerging risk and opportunities.

Some key accountabilities include:
Extract, modify and analyse data to support analytics requests for the provision of insights
Assist in the identification of opportunities, risks, hotspots and trends to aid understanding of prevention and recovery performance drivers, and work closely with stakeholders (within IMF and across WSV) to help determine the nature, causes and possible solutions.
Please ensure you take a look at the Position Description provided for additional information on accountabilities for this role. www.wemake.worksafe.vic.gov.au
About you
Your communication and organisational skills are exemplary – You have a passion for influencing industry. You are a team oriented person who enjoys making a difference!

Working with Us
We pride ourselves on being a great place to work and offer flexibility to facilitate work/life balance. People who are seeking part-time or job share arrangements are encouraged to apply.
What's next?
Applications close 11:00pm, Friday 3rd June 2022. Click the link to apply, and join us in making a difference to Victorian lives.
Only people with the right to work in Australia may apply for this position. You may be required to undergo a National Police Check (and/or Medical Assessment) as part of the recruitment process.
Candidate screening may take place prior to the advertisement closing, so get your application in.
For further enquiries please contact Talent Acquisition Specialist, Sangeeta Devaraj via email Sangeeta_devaraj@worksafe.vic.gov.au
About Us
WorkSafe Victoria plays a critical role in the lives of Victorian employers and workers - as the state's health and safety regulator and as the manager of Victoria's workers compensation scheme. In both capacities, employers and workers are at the heart of our service.
Our aim is to keep all workplaces healthy and safe, and to deliver high quality care and treatment when workers are injured.
WorkSafe are striving to build a diverse workforce that reflects the Victorian community we serve.
Our Future
Our Strategy has our core purpose front of mind; reducing workplace harm, improving outcomes for injured workers and provide community value.
We don't shy away from the importance of our purpose to the Victorian community, that's why we have a stated ambition to be world leading.
The outlook is a future where the system enables us to identify and mitigate potential risks and hazards before they result in harm to workers. When workers are injured the system will support the best outcomes.
Important Information
WorkSafe is committed to providing and maintaining a working environment which is safe and without risks to health consistent with WorkSafe's obligations under the Occupational Health and Safety Act 2004 (OH&S Act).
Therefore, there is a requirement that all WorkSafe employees be fully vaccinated against COVID-19 in order to undertake duties outside of their homes (unless a medical exemption applies).
To meet its obligations under the COVID-19 Mandatory Vaccination (Workers) Directions and the OH&S Act, WorkSafe will request vaccination information or evidence of an exemption in the pre-employment stage.
Inability to provide this may impact your subsequent employment with WorkSafe.",4.0,"WorkSafe Victoria
4.0",Geelong,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
171,Data Modeler - Financial Services - Data & Analytics,"$90,000 /yr (est.)","At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors. Join our Engineering team as a Senior Data Modeler and provide the specialist skills needed to drive the maturity of our modelling capability, uplift standards within our scrum teams through hands on involvement and performing a DevOps role on AWS and on-prem applications.",3.8,"EY
3.8",Sydney,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable
172,Data Analyst,"$57,000 /yr (est.)","Data is exploding
The demand for great data analysts and data scientists has never been higher than it is today. There simply aren't enough to fill the positions being advertised.
The Data School Australia is creating the next generation of great data analysts and data scientists.
If you are passionate about data, we have the best way to get you into your new data career.
How does it work?
The successful applicants will be immersed in 4 months of intensive classroom training based on the market-leading technologies, Tableau and Alteryx.",4.0,"Data School Down Under
4.0",Sydney,51 to 200 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
173,"Policy, Program, and Project Officers, APS Level 3 and APS Level 4, Analysis and Insights and Manufacturing Divisions",-1,"Job no: 510397
Employment type: Ongoing
Location: Canberra
Categories: Policy, Programme Management, APS Level 3, APS Level 4, Project Management
About the team
The Data Policy Branch resides within the Department’s Analysis and Insights Division. The Branch works in collaboration with our colleagues across the department on a range of data issues. Our Data Capability and Reporting team provides data governance and data management advice. Delivering data projects and providing analytical and reporting services to the wider department.
The Manufacturing Division focuses on transforming Australian manufacturing, helping it to scale up, become more competitive and resilient – creating jobs and supporting our economic recovery. The Strategy and Analysis branch is responsible for aligning the department’s Industry, Science and Technology support to the Modern Manufacturing Strategy (MMS) and National Manufacturing Priorities. The Strategy Implementation Branch is responsible for the delivery of the initial MMS investment (through the Modern Manufacturing Initiative) and continues to deliver support to business, engage with stakeholders and negotiate contracts.",3.9,"Department of Industry, Science, Energy & Resources
3.9",Canberra,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
174,Data and Performance Analyst (HEO 7),"$90,234 /yr (est.)","Based in Business and Intelligence Planning at the City West campus
Full-time, continuing position
Commencement Salary: $90,234 per annum (plus 17% superannuation)



About the Role

As an expert in data analytics and with a specialist knowledge of various business intelligence tools, you will analyse and interpret complex data sets to provide innovative solutions that support university-wide performance monitoring, decision-making and compliance reporting activities. You will design, develop, and manage projects to support strategic decision making, and continually review and improve a suite of core performance reports and data analysis tools that are aligned with the University’s strategy.

You will lead the development and implementation of a quality training program for professional and academic staff and be highly skilled in the presentation of multifaceted data sets to a range of audiences.



The University of South Australia is Australia’s University of Enterprise. Our culture of innovation is anchored around global and national links to academic, research and industry partners. Our graduates are the new urban professionals, global citizens at ease with the world and ready to create and respond to change. Our research is inventive and adventurous and we create new knowledge that is central to global economic and social prosperity.",4.4,"University of South Australia
4.4",South Australia,1001 to 5000 Employees,-1,Contract,Colleges & Universities,Education,$500 million to $1 billion (USD)
175,APS 5 - MH-60R Readiness Analyst,"$79,335 /yr (est.)","$76,611- $82,059 (plus Super)
Nowra - NSW
The Role
As the MH-60R Readiness Analyst, you will work within a small Product Support Unit (PSU) team of specialists providing Logistics Data management, governance and assurance oversight of a key Logistics Data Acquisition and Support Systems for the MH-60R (Helicopter) Platform. Some of the key duties of this role are:
Maintain an interface with external stakeholders, Naval Air Systems Command (NAVAIR) Aircraft Data Analysis & Readiness Elements.
Performance periodic data transfers;
Participate in MH-60R Data Analysis and Readiness conferences;

The MH-60R PSU is part of the Navy Aviation System Program Office (NASPO) and this small team efficiently, and effectively manages the support for the MH-60R capability for the Royal Australian Navy. This is a highly skilled and diverse team dedicated to continuous improvement and the provision subject matter expertise. As a small team, we rely on each other’s teamwork, knowledge and strengths to achieve the end result.


The MH-60R PSU at NASPO is looking for a high performing, experienced Readiness Analyst to be a part of a small but dynamic team working within an interesting and rewarding environment. To be successful in this role you will:",3.8,"Australian Government Department of Defence
3.8",Nowra,10000+ Employees,-1,Government,National Services & Agencies,Government & Public Administration,$10+ billion (USD)
176,Reporting and Insights Analyst,-1,"Reporting into the Head of Technology supporting Bupa’s Dental business, a new permanent role based in Sydney, Melbourne or Brisbane has become available where you can WFH all the time or some of the time. Your purpose will be to interpret, design, author and deliver data sets and reporting solutions to enable data-driven insights and decisions for 200 Bupa Dental clinics across Australia.
In this important role, you’ll work with Bupa Dental internal stakeholders, including their Data Analysts to clearly understand their clinical, operational, commercial, and contractual reporting needs. You’ll do so by gathering and interpreting data on appointment numbers, clinic income, how many clinic chairs are being utilised, how many ‘no shows’ occur, the clinic revenue per chair etc.
How will I help?
Key accountabilities include:
Prepare data for reporting. Complete any data mining needed to prepare new fields or measures.
Full time",3.7,"Bupa
3.7",Sydney,10000+ Employees,1947,Company - Private,Healthcare Services & Hospitals,Healthcare,$5 to $10 billion (USD)
177,Data & Analytics RA3D - Expression of interest,-1,"Job no: 517810
Work type: Permanent Full Time
Location: Melbourne, Perth, Brisbane, Darwin, Canberra, Parramatta, Sydney, Wollongong, Penrith, Rhodes, Newcastle/Hunter
Division: Audit, Assurance & Risk Consulting
KPMG Australia is part of a global network providing extensive services across a wide range of industries and sectors. Our people collaborate, share their expertise and create innovation as we partner with clients to solve complex challenges, empower change, drive disruption and growth. We look for talented people with the potential to make an extraordinary difference for our clients, our firm, and our communities.
Our national Risk Assurance Data and Digital Deployment (RA3D) team are seeking some excellent people to join our rapidly growing team. We are an inclusive and dynamic team committed to driving innovation, delivering client outcomes, and making an impact. The strength of our team lies in the diversity of the background and skillset of each member, fostered in a collaborative environment.",4.0,"KPMG
4.0",Sydney,1001 to 5000 Employees,-1,Company - Private,Business Consulting,Management & Consulting,$25 to $50 million (USD)
178,Reporting Analyst,$93.75 /hr (est.),"Location:
Sydney Olympic Park, New South Wales

Job Type:
Contract

Specialisation:
Commercial

Salary:
AU$700 - AU$800 per day

Reference:
CR/011187_1651038760",3.3,"FinXL
3.3",Sydney,201 to 500 Employees,2003,Company - Private,Business Consulting,Management & Consulting,$100 to $500 million (USD)
179,Data Analyst - Insight Analyst,$95.31 /hr (est.),"Your Benefits:
Great Rates $700 to $825 p/d
12 Months with great prospect of renewal;
WFH / WFO (2 days in office depending on health advise)
Well funded Contract with View for Extension.
Key position within Information Management practice;
Work with Snowflake System;
End-user Organization;

This is a business facing Data and Business Analyst position with great emphasis on strong communications and stakeholder management skills.

To be successful for this role, your CV will need to reflect on following skill-set:

Highly desirable but not essential:

This is a versatile position in that you will work with different business units in intelligently gathering their data needs and use multiple different data sources to query and mine data.

You will then use that data to create models, patterns, insight and reports in order to create insight and reporting for the relevant business unit.

Best method to apply is using the application button on this advert. We can be contacted on (02) 9687 1025 for a confidential discussion but please ensure the resume has been sent.",-1.0,Infinity Pro,Sydney,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
180,Data Analysts,$95.00 /hr (est.),"Application closing date: Wednesday 1 June 2022 at 11:59pm (in Canberra)
Estimated start date: Fri Jul 01 2022
Location of work: New South Wales
Length of contract: ASAP to 30 June 2023
Contract extensions: Up to 1x 12-month extensions
Security clearance: Ability to obtain baseline clearance (Must be Australian Citizen)
Rates: $80 - $110 per hour (inc. super)",5.0,"CYOS Solutions
5.0",Sydney,1 to 50 Employees,2015,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
181,Data Engineer Analyst,-1,"Being part of Networks & IT means you'll be part of a team that focuses on extending our network superiority to enable the continued execution of our digital strategy.
The role with us
As a Data Engineer, you’re responsible for ingesting and optimising data into data platforms, so that inform data driven decisions can be made to improve business outcomes and gain a competitive advantage. You will play a key role in building Telstra’s data capability with high quality, reliable and readily available data.
This role requires Australian Citizenship.
Key Responsibilities:",3.9,"Telstra
3.9",Australia,10000+ Employees,1901,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
182,Insights Analyst - Data Analytics,-1,"You will be partnering with a range of stakeholders within Macquarie, as you own and deliver exciting analytical projects across both Financial Crime and Fraud.
You will work in a fast-paced, agile environment full of complex challenges, whilst using technology to drive business and operational decisions.
In this role, you will be:
owning and delivering analytics projects and automated data solutions across both Financial Crime and Fraud.
develop insightful metrics and create dashboards to visualize fraud data and trends.
create appropriate documentation that allows stakeholders to understand the analysis.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
183,Technical Business Analyst,-1,"Join as an experienced Business Analyst on a 12-month contract basis, where we are looking for someone who will thrive in a fast-paced, delivery focused environment and draw on your collaborative and problem-solving skills to achieve optimal outcomes. You will have experience in Financial Services, with excellent stakeholder management skills. As our Business Analyst, you will be capable of working within a small, targeted team or as an individual consultant to an area and will need to have a flexible approach and adapt easily in a dynamic environment where priorities can shift. Additionally, having a strong sense of ownership to follow your deliverables through to closure will be paramount, as will be the confidence to challenge ideas and processes, enabling the teams you work in to deliver more efficient outcomes.
The role will see you collaborating with a range of both technical and non-technical stakeholders across multiple levels, while using your structured approach and analytical thinking to work on multiple projects. You will work closely with service owners, product owners, technical experts, and scrum teams to refine and write user stories and support the agile delivery of projects, using your diverse skills and approach to work collaboratively on technology-enabled initiatives within a large enterprise environment. You will be involved in gathering, validating and documenting business requirements and mapping the requirements to solutions, leading ongoing reviews of business processes and developing optimization strategies.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
184,"Equity, Diversity & Inclusion (EDI) Data Analyst","$91,479","Human Resources
Permanent/continuing, full-time appointment
Level: 6/7: $81,741 - $101,216 + 17% superannuation
The Equity, Diversity & Inclusion (EDI) Data Analyst position is responsible for the development, quantitative analysis and interpretation of data associated with the suite of EDI programs and initiatives led by the Human Resources Division, to further develop equity, diversity and inclusion at the University of Wollongong. These programs and initiatives include but are not limited to the Science in Australia Gender Equity (SAGE) Athena SWAN program, Workplace Gender Equality Agency (WGEA) annual reporting, the Australian Workplace Equality Index (AWEI) and the University’s workforce diversity policies and strategies.
The EDI Data Analyst works closely with the Workforce Diversity Advisor, the EDI Workforce Officer, the Aboriginal Employment Strategy Advisor and the broader HR Division to support initiatives that promote diversity and inclusion within the University, informed by robust research and data analysis. This position is also responsible for the preparation and analysis of accurate and relevant data for internal/external EDI compliance and legislative reporting requirements.
Applicants will be prompted to respond to selection criteria within the online application. For further information about the role please contact Natalie Asquith on (02) 4298 1399.",3.9,"University of Wollongong
3.9",Wollongong,5001 to 10000 Employees,1975,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
185,Data Analyst,-1,"About : Different

We’re rebuilding property management.

We want to make it amazing for owners and tenants through a perfect balance of great people and industry-leading technology.

: Different is a venture-backed, high-growth company, hailed as a disruptor by major media and making waves in the 4 billion dollar property management sector. Our founders have come from Google and Uber in Silicon Valley, building out a team of the best and brightest in their fields.

Our mission is to take care of homes and the people in them. We’re starting with rebuilding property management by taking care of investment property homes for Australian owners and tenants.

We are in a massive growth & scale period and this is the perfect time to join a fun & supportive team environment and grow your career with us.


Ideally you would need to have some runs on the board for providing value in the technical space, whether it be via delivering improvements, supporting technical requirements, or managing projects. You will thrive in a fast paced environment and enjoy playing a key role in a changing & growing business.

You enjoy extracting data and sharing valuable insights with others
Experience with Google Suite including Sheets
Proficient in at least one of R, Python, SQL. Knowledge in SQL preferred.
Strong analyst skills and the ability to engage with multiple stakeholders, work independently across various engagements and manage competing priorities
Ability to comprehend business needs and convert them into analytics requirements
Excellent written and presentation communication skills.


Generating weekly and monthly KPI reports, with a focus on operations utilisation and customer satisfaction
Work collaboratively across different functional areas to identify, collect and consolidate existing data and missing data
Playing a key role in supporting the business on a day-to-day basis with the ability to manage multiple priorities in a changing and growing business

Different?

Long-term career opportunities - as an early employee, there’s lots of opportunity to grow professionally
Great salary PLUS super PLUS bonus PLUS equity on offer!
Flexible working hours from our beautiful waterfront Sydney offices
Mentorship from our Strategic Operations Manager (and our other amazing leaders!), and the opportunity to learn new skills in a safe and supportive environment
Work from home 2 days a week
Challenge - in a high growth phase, this won't be easy, but we can guarantee it will be rewarding

: Different is an Equal Employment Opportunity employer that values the strength diversity brings to the workplace. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills, and creating an inclusive environment for all employees. The more inclusive we are, the better our work will be.",-1.0,:Different,Sydney,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
186,Junior Data Analyst,-1,"Role overview:
Hearts & Science, Australia

Full time, flexible working
Sydney
Our culture
Our agency culture is prized and something we work hard at maintaining. We describe our culture as 'Winning with Heart', where we blend both to achieve a culture where people can flourish, be the best they can be and importantly be true to themselves.

4 key values inform everything we do:
Hearts' focus
At Hearts, we're defining the future of media, using data to sharpen our understanding of consumers and the media's impact on business outcomes. This approach requires rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
What are we looking for?
Supporting our Australia and New Zealand teams, we are looking for a Junior Data Analyst in a to help build out our data capabilities and work with our global teams to develop greater insights from our client's data
This role will see you work with some of our key clients in the region as well as be instrumental in our new business pitches moving forward.
Your day to day

*
The people who will flourish at Hearts are fluent in digital, interested in using data to inform and technology platforms to enable. More specifically:

Hearts & Science, Australia
Hearts is a full-service data driven marketing and communications agency, and the third global agency pillar of the Omnicom Media Group. Launched in New York in 2016, after the successful appointment by Proctor & Gamble and AT&T shortly thereafter, Hearts offers a differentiated people, process and technology-driven approach to clients, challenging existing agency models to drive greater ROI and leveraging the OMNI audience platform.
Since launch, Hearts has continued to grow, innovate and deliver, extending its network to 24 markets around the world, including London, Tokyo, Toronto and Dubai.
Hearts is in the business of capturing hearts. The hearts of our people, our clients and our clients' customers. To do this requires the alignment of ambition, teams, innovation, creativity, audiences and media to deliver a disproportionate share of ROI. This means rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
For more information, please apply with an up to date version of your resume or email fraser.rix@omnicommediagroup.com with any questions.",3.3,"Hearts & Science
3.3",Sydney,1001 to 5000 Employees,2015,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD)
