,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
558,Data Analyst - IBM InfoSphere,-1,"The speed of change is throwing traditional business methods into question and disrupting the relevance of entire industries. Capgemini, a global leader in consulting, digital transformation, technology and engineering services, is at the forefront of innovation and well placed to address opportunities for our clients in the evolving world of cloud, digital and platforms. Building on its strong 50-year heritage and deep industry-specific expertise, Capgemini enables organisations to realise their business ambitions through an array of services from strategy to operations. Capgemini is driven by the conviction that the business value of technology comes from and through people. Today, it is a multicultural company with over 270,000 team members in almost 50 countries. With Altran, the Group reported 2020 combined revenues of EUR 15.8 billion. Learn more about us at www.capgemini.com.

Let's talk about the team:
Our Applications Managed Services team help our clients create more value for. their business and improve efficiency through IT Systems. Our services are highly industrialized, underpinned by robust SLAs, based on industry-standard best practices, and delivered by a cost-effective mix of onshore, nearshore, and offshore resources. We're about more than 'keeping the lights on for. less' - we provide a commitment to continuous improvement and value generation.



Let's talk about what's in it for you!
Passionate people are Capgemini's Ace of Spades - join us to discover a career that will challenge, support and inspire you. Working at Capgemini you'll find the rewards are more than just financial. You will work alongside some very smart and inspiring people on exciting projects and you will also enjoy incredible benefits. We offer flexible work practices and 40 hours of self-development every year with a huge selection of learning opportunities to choose from. Capgemini constantly aims for excellence in its operations and the employee experience it provides. In line with our Purpose, Flexible Working aims to improve the overall people experience by providing an optimal work-life balance, more autonomy and freedom in when, where and how we work.
As ""Architects of Positive Futures"", Capgemini actively supports the community in 3 ways:
Diversity and Inclusion - we believe diversity of thought fuels excellence and innovation, which is why we positively encourage applications from suitably qualified candidates regardless of their gender identity, ethnicity, sexual orientation, religion, ability, intersex status or age. To support our commitment to diversity and inclusion, we celebrate or recognise special events and days of significance that are important to our employees such as Diwali, Bastille Day, Pride, IDAHOBIT, IWD and International day of people with Disabilities. Our Employee Resource Groups Women@Capgemini, OutFront, Indigenous, Parents and Carers and Sustainability Community of Practice support the grassroots passion of employees to drive our diversity agenda and effect change.
Digital inclusion - at Capgemini we are using our skills to drive social impact initiatives focusing on helping society address the impact of the digital and automation revolution. We also provide employees with opportunities to give back to the community through charity projects and volunteer days.
Environmental Sustainability - Capgemini joined the CDP's (Carbon Disclosure Project) prestigious ""A list"" for its commitment to the Net-Zero economy. As well as focusing on helping our clients transform towards more sustainable business models, Capgemini recently announced its commitment to becoming a netzero busines by 2030.
Recognised by Ethisphere as one of the World's Most Ethical Companies for the last 9 years in a row, ethics and values are at the heart of Capgemini's corporate culture and business. Embedded in our DNA, our seven values - Honesty, Boldness, Trust, Team Spirit, Freedom, Fun and Modesty - have remained the same since company inception in 1967. To see how we bring these values to life, visit www.capgemini.com/au-en/careers/ and listen to some of our employee's stories.
#GetTheFutureYouWant - Come join us, bring your whole self to work, create new possibilities for you, your customers and your community and help us to be Architects of Positive Futures.

Please note unsolicited resumes from employment agencies or other third parties will not be considered.
#LI-TK1",4.0,"Capgemini Australia
4.0",Canberra,1001 to 5000 Employees,1967,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
559,Data Analyst - Epidemiology and Analysis,"$109,421 /yr (est.)","Employment Type: 5 x Temporary Full Time (up to 31 Dec 2022)
Position Classification: Health Manager Level 2
Remuneration: $100,107.00 - $118,735.00, plus Superannuation
Location: 1 Reserve Road, St Leonards
Hours Per Week: 38
Requisition ID: REQ313608
Closing Date: 29 May 2022 (11:59PM)


Where you'll be working
Health Protection NSW is responsible for disease surveillance and public health response in NSW, including monitoring the incidence of notifiable infectious diseases and taking appropriate action to control the spread of diseases. It also provides public health advice and response to environmental issues affecting human health. This position will initially be working within the COVID-19 Influenza Branch in Health Protection NSW.
For more information go to www.health.nsw.gov.au",3.8,"Health System Support Group
3.8",St Leonards,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
560,Data Analyst,-1,"You are passionate about all things data related with a positive attitude
We are a high performing team with a passion for innovation and continuous improvement.
Together we can deliver an exemplary experience for our stakeholders and the Group
See yourself in our team
CommInsure helps protect the lifestyles of more than three million Australians through a wide range of insurance, superannuation and investment services. Our insurance business has been a part of the Australian insurance industry for more than one hundred years. Each year CommInsure pays more than $1 billion in insurance claims.





Advertising End Date: 27/05/2022",4.1,"Commonwealth Bank
4.1",Sydney,10000+ Employees,1911,Company - Public,Banking & Lending,Finance,$5 to $10 billion (USD)
561,Data Analyst,$55.20 /hr (est.),"If you’re considering a tree change, Western New South Wales provides one of the best Australia has to offer!

To be considered for interview, candidates must address the Selection Criteria in the Position Description.


Employment Type: Permanent Part Time
Position Classification: Health Manager Level 2
Remuneration: $50.52 - $59.88 ph plus super
Hours per week: 32
Location: Negotiable within Western NSW Local Health District",3.6,"Western NSW Local Health District
3.6",New South Wales,5001 to 10000 Employees,-1,Government,-1,-1,Unknown / Non-Applicable
562,Data Analyst,$81.25 /hr (est.),"Data Analyst contract
Needing strong Data insights experience
12 month contract
Up to $700 per day plus super
My NSW government client needs a Data Analyst with strong data insights and data profiling experience to join their team. This will be mostly WFH with their office head-office based near Central station in the CBD.
You will be responsible for the analysis of complex data from multiple sources to identify revenue, process and business improvement opportunities, providing new information and insights to the business to inform planning as well as continuous improvement and performance.

Key accountabilities:
This role will look at data linkages and reusable data assets, it will work across prescriptive analytics, data analytics and data insights
Identify, interpret and analyse complex data using linking and statistical techniques to answer multifaceted business problems including the identification of trends and/or patterns in complex data sets, and to create inference or insights
Acquire data from primary or secondary data sources, create databases/data systems to expected standards and coach team members to maintain systems
Oversee the filtering and ""cleaning"" of data to ensure the quality and accuracy of source data being built by team members
Produce reports, visualisations and recommendations to answer complex business problems that are presented in the most appropriate format to ensure clarity for target audience
Analyse and define new process improvement opportunities to support continuous improvement and business outcomes; providing advice to stakeholders, on ways to improve the efficiency and reliability of data products and services
Develop and manage stakeholder relationships through strong and effective communications, managing expectations, mediation and issues management and negotiation to ensure delivery of services and the achievement of outcomes and benefits, engaging with stakeholders at all levels


Experience across profiling, analysis and development of metrics across a range of survey, behavioural and performance data sources to support the delivery of business insights
Strong Data Analytics and Data insights experience
Talend, snowflake, Azure data lake, azure data bricks (data profiling and courier the data), basic visualisation/dashboard experience (however the data analytics side if the role is more important)
SQL, Access, Excel
Need some data modeling experience and or language processing experience
Big data experience highly desired.
Develop and improve logical data linkages to enable new and unique insights
Develop and improve re-usable data assets (business profiles and segmentation) and advanced analytics (e.g. modelling, NLP) to generate prescriptive analytics
Deliver data and metrics for ad-hoc customer requests
Contribute to the design, development and improvement of business insights reporting dashboards
For further information please contact Jane Royeca at Clicks IT Recruitment on 02 9200 4455.
At Clicks we embrace diversity, inclusion and equal opportunity.
We provide reasonable adjustments, including alternate formats to the recruitment process for individuals with disability. If you require an adjustment to be made during the recruitment process, please call 1300 254 257 or email adjustments@clicks.com.au
AU$600 - AU$700 per day + Plus super
Plus super

Type
Contract

Category
Project / Program / PMO support

Reference ID
BBBH70847",3.6,"Clicks IT Recruitment
3.6",Sydney,501 to 1000 Employees,1990,Company - Public,HR Consulting,Human Resources & Staffing,$100 to $500 million (USD)
563,Data Analyst - Visualisation (VPSG4),"$94,943 /yr (est.)","Job Description
Location: Melbourne | CBD
Job type: Full time / Fixed Term 30 June 2024
Organisation: Sustainability Victoria
Salary: $88,955 - $100,930
Occupation: Analyst
Reference: VG/4534365",4.2,"Sustainability Victoria
4.2",Melbourne,51 to 200 Employees,-1,Government,-1,-1,Unknown / Non-Applicable
564,Reporting Analyst,-1,"Posted: 02/05/2022
Closing Date: 31/05/2022
Job Type: Contract
Location: Canberra
Job Category: Banking and Financial Services,Call Centre and Customer Service,Insurance & Superannuation
At CSC, we know that it takes all of us working together, united as one, to guide our customers towards their retirement dreams. We’re proud to wear the government crest, and proud to serve those who serve our country.
Every day, CSC makes a real difference by guiding our customers to make the right choices, and to feel confident about their financial wellbeing. Through rich customer insights and world-leading investment strategies, we’re always growing and improving. That means creating an environment where each and every one of us has the opportunity to strive together for excellence.",-1,Commonwealth Superannuation Corporation (CSC),Canberra,-1,-1,-1,-1,-1,-1
565,Data Analyst,-1,"Immediate Start
Great company values and culture
Able to work remotely
This is an excellent opportunity for a Data Analyst to work at Sanitarium Health & Wellbeing, a highly respected food manufacturing company based locally on the Central Coast. The opportunity offers an immediate start and will give the successful candidate the chance to design Business Intelligence solutions that will allow data driven business outcomes across a wide range of areas in the business.
Sanitarium Health Food Company is Australian owned and a leader in the food industry with much loved brands and category leaders like Weet-Bix, Up&Go and So Good. Sanitarium's mission is focused on improving health and wellbeing in our community and as an organisation it is recognised as one of Australia's most trusted brands.",4.1,"Sanitarium Health & Wellbeing
4.1",Berkeley Vale,1 to 50 Employees,-1,Company - Private,Food & Beverage Manufacturing,Manufacturing,Unknown / Non-Applicable
566,Data Analyst - Financial Services - Data & Analytics,"$90,000 /yr (est.)","At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

EY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors. You will shape, change, and deliver a data management roadmap to improve and enhance the value and re-usability of data, through modern and evolving data management practices and frameworks.",3.8,"EY
3.8",Melbourne,Unknown,-1,Unknown,-1,-1,Unknown / Non-Applicable
567,"Policy, Program, and Project Officers, APS Level 3 and APS Level 4, Analysis and Insights and Manufacturing Divisions",-1,"Job no: 510397
Employment type: Ongoing
Location: Canberra
Categories: Policy, Programme Management, APS Level 3, APS Level 4, Project Management
About the team
The Data Policy Branch resides within the Department’s Analysis and Insights Division. The Branch works in collaboration with our colleagues across the department on a range of data issues. Our Data Capability and Reporting team provides data governance and data management advice. Delivering data projects and providing analytical and reporting services to the wider department.
The Manufacturing Division focuses on transforming Australian manufacturing, helping it to scale up, become more competitive and resilient – creating jobs and supporting our economic recovery. The Strategy and Analysis branch is responsible for aligning the department’s Industry, Science and Technology support to the Modern Manufacturing Strategy (MMS) and National Manufacturing Priorities. The Strategy Implementation Branch is responsible for the delivery of the initial MMS investment (through the Modern Manufacturing Initiative) and continues to deliver support to business, engage with stakeholders and negotiate contracts.",3.9,"Department of Industry, Science, Energy & Resources
3.9",Canberra,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
568,Data Analytics Analyst,-1,"We currently have a great opportunity within our Operations Team for a Data Analytics Analyst to join IQVIA on a fixed term 12-month contract based in our Sydney office. This role will see you work across multiple data sets Pharmacy related: Point of Sales, Point of Dispense, Stock data, Point of Purchase, Sell in data.
The immediate scope of the work is to support the team with data quality investigations, ad -hoc data insight, reports, and new processing requirements. A good understanding of sales transactions in a pharmaceutical landscape acquired from previous experience working in a pharmacy environment would be ideal in combination with sound technical skills using SQL, Python and/or R to analyse the data.
As a Data Analytics Analyst you will be responsible for the collection, processing, analysis, and administration of supplier data through to the preparation of data for reporting purposes.",3.9,"IQVIA
3.9",St Leonards,10000+ Employees,2017,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
569,Data Quality Analyst,"$109,421 /yr (est.)","Employment Type: 7 x Temporary Full Time (up to 31 Dec 2022)
Position Classification: Health Manager Level 2
Remuneration: $100,107.00 - $118,735.00, plus Superannuation
Location: 1 Reserve Road, St Leonards
Hours Per Week: 38
Requisition ID: REQ313564
Closing Date: 29 May 2022 (11:59PM)


Where you'll be working
Health Protection NSW is responsible for disease surveillance and public health response in NSW, including monitoring the incidence of notifiable infectious diseases and taking appropriate action to control the spread of diseases. It also provides public health advice and response to environmental issues affecting human health. This position will initially be working within the COVID-19 Influenza Branch in Health Protection NSW.
For more information go to www.health.nsw.gov.au",3.8,"Health System Support Group
3.8",St Leonards,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
570,Decisioning Analyst - ANZx,-1,"About the role

Decisioning Analyst - ANZx
Location - Melbourne or Sydney preferred (Blended working model)
Full Time

Are you looking for an opportunity to be part of something really different - working in an agile way to innovate and deliver quality outcomes at pace? As part of our Australia Business Transformation, we’re looking for people who are passionate about transformational change and doing great things for our customers, to help us redefine banking for the future.

Join us as we reimagine our customer propositions and services using the latest platforms and technology, to better support our customers’ financial wellbeing.

What’s your mission?

As a Decisioning Analyst, supporting the Data and Decisioning team within our Australia Business Transformation, your mission is to use data driven approach to deliver consistent, relevant and personalised experience to our customers. You will use Agile methods to design and deliver business and technical solutions for initiatives within the ANZ Transformation program. You will work in a dynamic and changing environment and adapt quickly

What will your day look like
Build personalised “Next Best Actions” in Pega Customer Decision Hub to meet the business requirements
Work with Value streams to identify the data requirements and work with data squads to source in data (real time or batch) to support the delivery of NBAs
Configure rules/contact strategy/arbitration for NBAs on Pega NBA designer
Use test and learn framework to optimise the performance of NBAs
Use data driven insights to adjust the arbitration and contact strategy to optimise the NBA performance
An influencer and facilitator of customer centric data driven decisioning
What will you bring?

To grow and be successful in this role, you will ideally bring the following:

Experience in the Pega product, Pega Decisioning and relational databases
Apply customer centric approach to ideation, elaboration and implementation of an initiative
Tech savvy, data led and proficient in marketing tools like in PEGA CDH, Adobe Campaign, ORACLE Responsys, Salesforce Marketing studio or similar helpful
Hands on experience and technical knowledge of Pega CDH will be preferred
Hands on knowledge and experience in data analysis, data modelling and data manipulation
Understanding of building blocks of an effective decisioning solution such as Contact policy, Eligibility etc
Experience in analyzing and optimizing campaigns/actions
Understanding of cloud and real time/batch data platforms
Experience working in agile delivery team
Growth mindset and a problem solver
Ability to work independently with senior stakeholders
Can appreciate difficult problems and work autonomously on tasks with complexity
So, why join us?

We’re reinventing the way we do banking, and our community of collaborative, innovative thinkers who create human-centred solutions are helping us get there. We’re responding faster to changing customer requirements, focusing on the things that matter.

We’ll also offer you the opportunity to develop your career, working in a diverse and inclusive workplace where the different backgrounds, perspectives and life experiences of our people are celebrated and create a great place to grow, thrive and belong.

A happy workplace is a thriving one, and some of the perks you’ll get from being a Decisioning Analyst at ANZ are:

Lifestyle leave - top up your annual leave with up to four weeks of additional purchased leave or take a longer period of unpaid time off
Great discounts on our financial products, and an annual Superannuation top up payment of $500 for all female employees to address the Superannuation gender gap
Competitive parental leave policies for both mums and dads, with a lump sum childcare contribution when you return to work

We work flexibly at ANZ and encourage you to talk to us about how this role can be flexible for you and any adjustments you may require to our recruitment process or the role itself. If you are a candidate with a disability, let us know how we can provide you with additional support.

This role is required to work from an ANZ workplace. Under the Victorian Government’s COVID-19 Mandatory Vaccination (Workers) Directions, the successful candidate will need to provide evidence that they have received two doses of an approved COVID-19 vaccine, or have a medical exemption evidenced by an authorised medical practitioner, in order to be appointed to the role.

After your initial application you may be asked to complete an online assessment, this invite will be sent to you via email from our assessment partner SHL. Please action this request as early as possible, this will enable us to manage your application and provide you with an update in a timely manner.

Job Posting End Date

, 11.59pm, (Melbourne Australia)",4.1,"ANZ Banking Group
4.1",Melbourne,10000+ Employees,1835,Company - Public,Banking & Lending,Finance,Unknown / Non-Applicable
571,Data Engineer Analyst,-1,"Being part of Networks & IT means you'll be part of a team that focuses on extending our network superiority to enable the continued execution of our digital strategy.
The role with us
As a Data Engineer, you’re responsible for ingesting and optimising data into data platforms, so that inform data driven decisions can be made to improve business outcomes and gain a competitive advantage. You will play a key role in building Telstra’s data capability with high quality, reliable and readily available data.
This role requires Australian Citizenship.
Key Responsibilities:",3.9,"Telstra
3.9",Australia,10000+ Employees,1901,Company - Public,-1,-1,$10+ billion (USD)
572,Insights Analyst - Data Analytics,-1,"You will be partnering with a range of stakeholders within Macquarie, as you own and deliver exciting analytical projects across both Financial Crime and Fraud.
You will work in a fast-paced, agile environment full of complex challenges, whilst using technology to drive business and operational decisions.
In this role, you will be:
owning and delivering analytics projects and automated data solutions across both Financial Crime and Fraud.
develop insightful metrics and create dashboards to visualize fraud data and trends.
create appropriate documentation that allows stakeholders to understand the analysis.",4.1,"Macquarie Group
4.1",Sydney,10000+ Employees,1969,Company - Public,Investment & Asset Management,Finance,$5 to $10 billion (USD)
573,"Data Analyst, APS 6","$88,046 /yr (est.)","Classification: APS Level 6
Salary: $81,950 - $94,141
Location: Canberra, Melbourne or Sydney
About ACLEI

The Australian Commission for Law Enforcement Integrity (ACLEI) is an independent agency within the Attorney-General’s Portfolio, established to support the Integrity Commissioner in carrying out his or her responsibilities for detecting, investigating and preventing corrupt conduct in Australian Government agencies with law enforcement functions. The Integrity Commissioner has extensive powers, including the ability to hold coercive hearings, and ACLEI investigative staff are able to use a range of law enforcement powers to assist in the Integrity Commissioner’s investigations.

At ACLEI, we seek the very best. Attracting and supporting clever, innovative and committed people is essential to ensure ACLEI is well placed to undertake its critical work. We work in a complex and dynamic setting where exceptional judgement and an ability to achieve results are critical.

ACLEI is currently undergoing a process of organisational transformation to ensure we remain fit for purpose in an increasingly complex operating environment. In support of our transformation strategy, we are looking for outstanding individuals with the ability to lead, manage, cooperate and perform successfully across a wide range of corporate and operational functions.

A key focus of ACLEI’s leadership culture is our understanding of, and commitment to, creating a diverse and inclusive environment to bring out the best in our people. You will find ACLEI to be a supportive and inclusive workplace.



Reporting to the Senior Data Analyst, the Data Analyst will assist with the production of strategic intelligence insights by ACLEI’s Strategic Intelligence and Data Analysis (SIDA) team. The Data Analyst will also help to design, build and maintain agency data assets that support intelligence and investigations more broadly. The role would suit either an intelligence analyst with an affinity for information technology and data, or a data analyst with experience of, or interest in, intelligence practice.

Working as part of a multi-disciplinary team of strategic intelligence analysts and data analysts, the Data Analyst not only extracts, cleanses, manipulates and analyses corruption-related data, but also recognises the most effective means of presenting that data to a broad and varied client base. The Data Analyst is also responsible for:





Employment with ACLEI is subject to the following conditions:



We encourage applications from the Australian community including Aboriginal and Torres Strait Islander people, people of all ages, people from culturally and linguistically diverse backgrounds, and people with disability.







The key duties of this position and capabilities required are listed in the Information for Applicants below. If after viewing this information you have questions, please contact Stuart Murnain on 0459 928 025.

For assistance with the online application system, please email recruitment@aclei.gov.au",-1,Australian Commission for Law Enforcement Integrity (ACLEI),Melbourne,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
574,Data Analyst (APS 4) Assessment Centre,"$71,024","APS Level 4 Data Analyst in Various Divisions in ABS Statistics
Multiple positions in various locations
$66,852 – 75,195 (plus 15.4% superannuation and allowances)



The Australian Bureau of Statistics (ABS) is recruiting several Data Analysts to work in various Divisions in our Statistical Services Group. Positions are located in Canberra, Sydney, Brisbane, Melbourne, Hobart, Adelaide and Perth in our Macroeconomic Statistics, Industry Statistics, & Population Labour and Location Statistics teams. We are also recruiting positions in our Enterprise Services Group within the Data Strategy, Integration and Services team. Ongoing (permanent) full-time and part-time positions will be offered.
















We are looking for people who are keen to widen their skill set, but have most or all the following:




Please read the attached",3.9,"Australian Bureau of Statistics
3.9",Belconnen,1001 to 5000 Employees,1905,Government,Investment & Asset Management,Finance,$100 to $500 million (USD)
575,Grad Analyst 2023 Expressions of Interest,-1,"Welcome to Aginic, a consultancy where some of the country’s brightest data analysts, engineers, agile coaches, designers, and cloud architects blend their technical skills with a desire to deliver impactful insights that solve business problems

For more information about us visit https://aginic.com/our-people/

We are currently recruiting for Graduate level roles across all our locations to start in early 2023.

About the role:

If the below appeals to you, and you want to join our growing team, we would love to hear from you! Working in a cross-functional squad, as a Data Analyst at Aginic, you'll perform data modelling, analytics and visualisation for a range of clients, including state health departments, tech start-ups, and major retailers. You’ll work with stakeholders to understand what information they need to run their business, and develop dashboards or reports to make data accessible to them in a timely and intuitive way. Your day-to-day work will involve a range of different technologies. On one project, you may perform data modelling and ETL using SQL and SSIS, then develop dashboards for end users using Qlik or Tableau. On another project, you may build predictive models using R; improve scalability and performance through cloud technologies; or automate tasks and data flows using Microsoft Flow, PowerApps and PowerBI.",3.5,"Aginic
3.5",Australia,51 to 200 Employees,2014,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
576,Junior Data Analyst,$45.00 /hr (est.),"Hudson is seeking a junior data analyst or recent graduate with a passion for data analysis to join a project on historical data.
Please note to be eligible you must be an Australian Citizen to be considered for this position.
Key duties:
Review, interrogate and update spatial data relating to environmental offsets
Verify departmental records to ensure offset data is accurate and can be made publicly available
Stakeholder Engagement with internal and external stakeholders
interrogate filing systems to obtain information and maintain accurate records",4.0,"Hudson Australia
4.0",Canberra,501 to 1000 Employees,1985,Company - Private,HR Consulting,Human Resources & Staffing,Unknown / Non-Applicable
577,"Equity, Diversity & Inclusion (EDI) Data Analyst","$91,479 /yr (est.)","Human Resources
Permanent/continuing, full-time appointment
Level: 6/7: $81,741 - $101,216 + 17% superannuation
The Equity, Diversity & Inclusion (EDI) Data Analyst position is responsible for the development, quantitative analysis and interpretation of data associated with the suite of EDI programs and initiatives led by the Human Resources Division, to further develop equity, diversity and inclusion at the University of Wollongong. These programs and initiatives include but are not limited to the Science in Australia Gender Equity (SAGE) Athena SWAN program, Workplace Gender Equality Agency (WGEA) annual reporting, the Australian Workplace Equality Index (AWEI) and the University’s workforce diversity policies and strategies.
The EDI Data Analyst works closely with the Workforce Diversity Advisor, the EDI Workforce Officer, the Aboriginal Employment Strategy Advisor and the broader HR Division to support initiatives that promote diversity and inclusion within the University, informed by robust research and data analysis. This position is also responsible for the preparation and analysis of accurate and relevant data for internal/external EDI compliance and legislative reporting requirements.
Applicants will be prompted to respond to selection criteria within the online application. For further information about the role please contact Natalie Asquith on (02) 4298 1399.",3.9,"University of Wollongong
3.9",Wollongong,5001 to 10000 Employees,1975,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD)
578,Junior Data Analyst,-1,"Role overview:
Hearts & Science, Australia

Full time, flexible working
Sydney
Our culture
Our agency culture is prized and something we work hard at maintaining. We describe our culture as 'Winning with Heart', where we blend both to achieve a culture where people can flourish, be the best they can be and importantly be true to themselves.

4 key values inform everything we do:
Hearts' focus
At Hearts, we're defining the future of media, using data to sharpen our understanding of consumers and the media's impact on business outcomes. This approach requires rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
What are we looking for?
Supporting our Australia and New Zealand teams, we are looking for a Junior Data Analyst in a to help build out our data capabilities and work with our global teams to develop greater insights from our client's data
This role will see you work with some of our key clients in the region as well as be instrumental in our new business pitches moving forward.
Your day to day

*
The people who will flourish at Hearts are fluent in digital, interested in using data to inform and technology platforms to enable. More specifically:

Hearts & Science, Australia
Hearts is a full-service data driven marketing and communications agency, and the third global agency pillar of the Omnicom Media Group. Launched in New York in 2016, after the successful appointment by Proctor & Gamble and AT&T shortly thereafter, Hearts offers a differentiated people, process and technology-driven approach to clients, challenging existing agency models to drive greater ROI and leveraging the OMNI audience platform.
Since launch, Hearts has continued to grow, innovate and deliver, extending its network to 24 markets around the world, including London, Tokyo, Toronto and Dubai.
Hearts is in the business of capturing hearts. The hearts of our people, our clients and our clients' customers. To do this requires the alignment of ambition, teams, innovation, creativity, audiences and media to deliver a disproportionate share of ROI. This means rethinking traditional ways of working, questioning everything and using data and technology to empower smarter decisions, to ultimately deliver better business results, not just cost savings.
For more information, please apply with an up to date version of your resume or email fraser.rix@omnicommediagroup.com with any questions.",3.3,"Hearts & Science
3.3",Sydney,1001 to 5000 Employees,2015,Company - Public,Advertising & Public Relations,Media & Communication,$2 to $5 billion (USD)
579,Data Analyst,-1,"About : Different

We’re rebuilding property management.

We want to make it amazing for owners and tenants through a perfect balance of great people and industry-leading technology.

: Different is a venture-backed, high-growth company, hailed as a disruptor by major media and making waves in the 4 billion dollar property management sector. Our founders have come from Google and Uber in Silicon Valley, building out a team of the best and brightest in their fields.

Our mission is to take care of homes and the people in them. We’re starting with rebuilding property management by taking care of investment property homes for Australian owners and tenants.

We are in a massive growth & scale period and this is the perfect time to join a fun & supportive team environment and grow your career with us.


Ideally you would need to have some runs on the board for providing value in the technical space, whether it be via delivering improvements, supporting technical requirements, or managing projects. You will thrive in a fast paced environment and enjoy playing a key role in a changing & growing business.

You enjoy extracting data and sharing valuable insights with others
Experience with Google Suite including Sheets
Proficient in at least one of R, Python, SQL. Knowledge in SQL preferred.
Strong analyst skills and the ability to engage with multiple stakeholders, work independently across various engagements and manage competing priorities
Ability to comprehend business needs and convert them into analytics requirements
Excellent written and presentation communication skills.


Generating weekly and monthly KPI reports, with a focus on operations utilisation and customer satisfaction
Work collaboratively across different functional areas to identify, collect and consolidate existing data and missing data
Playing a key role in supporting the business on a day-to-day basis with the ability to manage multiple priorities in a changing and growing business

Different?

Long-term career opportunities - as an early employee, there’s lots of opportunity to grow professionally
Great salary PLUS super PLUS bonus PLUS equity on offer!
Flexible working hours from our beautiful waterfront Sydney offices
Mentorship from our Strategic Operations Manager (and our other amazing leaders!), and the opportunity to learn new skills in a safe and supportive environment
Work from home 2 days a week
Challenge - in a high growth phase, this won't be easy, but we can guarantee it will be rewarding

: Different is an Equal Employment Opportunity employer that values the strength diversity brings to the workplace. We are committed to building a team that represents a variety of backgrounds, perspectives, and skills, and creating an inclusive environment for all employees. The more inclusive we are, the better our work will be.",-1,:Different,Sydney,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
580,Airpower Teaming System (ATS) - Finance Cost Analyst (P3),-1,"At Boeing, we innovate and collaborate to make the world a better place. From the seabed to outer space, you can contribute to work that matters with a company where diversity, equity and inclusion are shared values. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. Find your future with us.
Location:
RAAF Base Williamtown
Category:
Finance
Position Type:
Permanent
Job Reference:",3.8,"BOEING
3.8",Williamtown,10000+ Employees,1916,Company - Public,Aerospace & Defence,Aerospace & Defence,$10+ billion (USD)
581,"Policy, Program, and Project Officers, APS Level 3 and APS Level 4, Analysis and Insights and Manufacturing Divisions",-1,"Job no: 510397
Employment type: Ongoing
Location: Canberra
Categories: Policy, Programme Management, APS Level 3, APS Level 4, Project Management
About the team
The Data Policy Branch resides within the Department’s Analysis and Insights Division. The Branch works in collaboration with our colleagues across the department on a range of data issues. Our Data Capability and Reporting team provides data governance and data management advice. Delivering data projects and providing analytical and reporting services to the wider department.
The Manufacturing Division focuses on transforming Australian manufacturing, helping it to scale up, become more competitive and resilient – creating jobs and supporting our economic recovery. The Strategy and Analysis branch is responsible for aligning the department’s Industry, Science and Technology support to the Modern Manufacturing Strategy (MMS) and National Manufacturing Priorities. The Strategy Implementation Branch is responsible for the delivery of the initial MMS investment (through the Modern Manufacturing Initiative) and continues to deliver support to business, engage with stakeholders and negotiate contracts.",3.9,"Department of Industry, Science, Energy & Resources
3.9",Canberra,1001 to 5000 Employees,-1,Government,National Services & Agencies,Government & Public Administration,Unknown / Non-Applicable
582,Lead Data Analyst - Creators Monetisation & Insights,-1,"Canva’s Commitment and Mission
At Canva, we celebrate diversity. We deeply believe that bringing together diversity of thoughts, perspectives and expression is key to building the best product, team and company. We look for many different skills and abilities, as well as how you can enhance Canva and our culture. So, even if you don’t think you quite meet all of the skills listed or tick all the boxes, we’d still love to hear from you!
Our mission at Canva is to empower the world to design and since launching in 2013, we have grown exponentially, amassing over 75 million monthly active users across 190 different countries and a team of over 2,800 people… and the best bit is that we’ve only achieved 1% of what we know we’re capable of.
Join us and design your future.",4.6,"Canva
4.6",Sydney,1001 to 5000 Employees,2013,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
